"","neighborhood","dis5mean","dis5sd","count.x","dis5max","dis5min","dismean10","dis10sd","count.y","dis10max","dis10min"
"41","Matthews Beach",2299.60250420084,278.885426165518,4,2700.47868017618,2065.14480622887,4219.71246530238,834.24808809042,4,5277.66668034372,3237.19109776775
"42","Meadowbrook",2237.08723870995,774.376156043101,2,2784.6538698372,1689.5206075827,4404.18816694502,NA,1,4404.18816694502,4404.18816694502
"43","Mid-Beacon Hill",1753.78585216149,886.767405920509,12,3631.03020832372,657.942069719086,3165.68783054514,1664.1898775164,9,5475.80760605341,659.627671544065
"44","Minor",2300.40969789096,3658.69770905909,20,12923.7064876977,121.406889600941,5517.57708697311,6867.56296912997,13,20666.4719537631,627.740494849773
"45","Montlake",2040.9559849969,2407.75638113736,11,8712.42849683839,261.561821595456,2743.72491954668,2185.06040557323,13,8211.04407091823,210.371503490261
"46","North Admiral",1507.38242995697,1235.50076351873,9,3800.9007619418,183.183032610719,3764.79302823409,2389.7884582691,8,6970.01716408541,328.56769400888
"47","North Beach/Blue Ridge",1537.37800909048,NA,1,1537.37800909048,1537.37800909048,5196.34023013365,NA,1,5196.34023013365,5196.34023013365
"48","North Beacon Hill",2522.38131812362,1879.5601272288,17,6698.84577016135,328.434191414171,4236.26033359939,2615.34357511846,18,9967.82493077262,1484.46177414889
"49","North College Park",1467.03320411223,1146.8298783802,3,2787.47562946194,719.963727505471,4035.21994812584,3172.16959864371,6,8516.24202997247,180.359160032486
"50","North Delridge",1954.07118237167,932.936593965524,15,3999.74912968997,1078.38675454199,3692.55646822051,1177.1980134254,12,5494.2729381929,1980.12756883896
"51","North Queen Anne",1830.89165860895,653.546676602255,20,3283.69673806878,637.600026260266,2962.83972383443,1808.74254658434,18,6802.86607326575,317.583413715489
"52","Olympic Hills",3690.87046645006,3067.9858414656,13,11080.4010383398,493.500477136308,5825.43310347016,4190.23528649703,12,15688.4827807496,1188.41835664945
"53","Phinney Ridge",2115.27282418836,998.172414807016,20,4501.91009885356,242.070030038819,3682.10960848973,1753.50942682302,17,7501.71481655182,772.829014783986
"54","Pike-Market",874.203414750663,NA,1,874.203414750663,874.203414750663,7244.686266281,NA,1,7244.686266281,7244.686266281
"55","Pinehurst",2862.74182639106,3716.94651832713,13,14391.7699697537,249.475387214385,7104.9619607785,6303.6254979657,8,21247.8706644339,1932.76973604306
"56","Pioneer Square",740.52912363425,978.10119863223,6,2599.30224532502,30.6161408150868,2594.41794731173,2724.10306838771,6,6684.67214270602,79.2181007785126
