"","olat","olng","lat5","lon5","neighborhood","mode","time_start","dis"
"474",47.70096,-122.3609,47.67671,-122.36056,"Greenwood",7,"5/19/2015 8:28:07.968 ",2699.6178809104
"475",47.65007,-122.35688,47.66879,-122.37616,"North Queen Anne",7,"5/19/2015 9:00:12.010 ",2536.20090784582
"476",47.70093,-122.36094,47.68006,-122.37683,"Greenwood",6,"5/19/2015 12:13:07.018 ",2610.58765451044
"477",47.62365,-122.3542,47.65067,-122.37627,"Lower Queen Anne",6,"5/19/2015 13:26:48.970 ",3433.3272811306
"478",47.70132,-122.36111,47.68072,-122.36061,"Greenwood",7,"5/19/2015 19:38:32.006 ",2293.48755222607
"479",47.5526,-122.33371,47.59685,-122.33478,"Georgetown",7,"5/19/2015 22:51:44.986 ",4926.54285084377
"480",47.66361,-122.32234,47.64136,-122.26589,"Wallingford",7,"5/20/2015 9:46:35.990 ",4904.44394668187
"481",47.67763,-122.37561,47.67277,-122.37607,"Whittier Heights",7,"5/20/2015 17:53:05.971 ",542.110313800721
"482",47.67277,-122.37607,47.68719,-122.35796,"West Woodland",7,"5/20/2015 18:34:29.971 ",2102.15323389662
"483",47.70101,-122.36084,47.67167,-122.3609,"Greenwood",7,"5/21/2015 8:45:11.981 ",3266.11695484937
"484",47.65004,-122.35751,47.65388,-122.34249,"North Queen Anne",7,"5/21/2015 9:20:15.994 ",1204.71501207129
"485",47.65325,-122.39179,47.66872,-122.37341,"Lawton Park",6,"5/19/2015 8:07:42.038 ",2205.60429773228
"486",47.61404,-122.31837,47.6266,-122.31609,"Broadway",6,"5/19/2015 17:37:31.987 ",1408.60022121531
"487",47.61975,-122.35763,47.62449,-122.33486,"Lower Queen Anne",17,"5/19/2015 18:58:10.042 ",1788.08851356014
"488",47.6367,-122.37765,47.61957,-122.35775,"Interbay",17,"5/20/2015 13:06:02.995 ",2421.81311992068
"489",47.61966,-122.35753,47.61977,-122.35688,"Lower Queen Anne",17,"5/20/2015 18:06:52.042 ",50.2862425188737
"490",47.62101,-122.31788,47.62098,-122.31825,"Broadway",17,"5/21/2015 7:28:50.966 ",27.9623046434988
"491",47.61994,-122.35778,47.63812,-122.3568,"Lower Queen Anne",17,"5/21/2015 15:41:46.032 ",2025.12334931994
"492",47.65166,-122.33603,47.66147,-122.32077,"Wallingford",17,"5/21/2015 19:16:02.006 ",1581.70962233673
"493",47.70437,-122.32562,47.70861,-122.32923,"Maple Leaf",17,"5/21/2015 20:30:42.970 ",543.975035045277
"494",47.70117,-122.34439,47.66375,-122.34723,"North College Park",17,"5/21/2015 20:53:14.006 ",4171.00946604062
