"","olat","olng","lat10","lon10","neighborhood","mode","time_start","dis"
"3692",47.61331,-122.33024,47.59575,-122.33326,"Broadway",6,"5/21/2015 12:32:43.958 ",1967.86847474332
"3693",47.65999,-122.36816,47.61849,-122.34342,"West Woodland",6,"5/21/2015 14:11:15.014 ",4978.52036233069
"3694",47.61303,-122.32902,47.50036,-122.27488,"First Hill",7,"5/19/2015 6:48:02.995 ",13185.3577184536
"3696",47.61509,-122.31955,47.61325,-122.32971,"Broadway",1,"5/19/2015 20:12:33.984 ",789.467714381246
"3698",47.61317,-122.32934,47.50358,-122.27833,"First Hill",7,"5/21/2015 6:58:21.014 ",12787.1867331792
"3711",47.69091,-122.342,47.62607,-122.34371,"North College Park",6,"5/19/2015 7:41:45.974 ",7219.0944410516
"3749",47.61052,-122.34372,47.61395,-122.35182,"Pike-Market",1,"5/20/2015 12:30:23.040 ",717.840226785655
"3750",47.61368,-122.3516,47.60631,-122.34016,"Belltown",6,"5/20/2015 16:37:55.027 ",1187.52519737102
"3751",47.5982,-122.33048,47.59108,-122.3217,"Pioneer Square",6,"5/20/2015 16:54:44.006 ",1030.84746485997
"3753",47.61483,-122.35494,47.61419,-122.35222,"Belltown",1,"5/21/2015 11:57:52.992 ",216.19110911423
"3754",47.61359,-122.35188,47.59857,-122.33564,"Belltown",6,"5/21/2015 16:37:15.974 ",2069.13474282436
"3756",47.60902,-122.31454,47.59525,-122.32087,"Minor",6,"5/19/2015 15:55:25.018 ",1604.8166541206
"3759",47.60893,-122.31469,47.60804,-122.31726,"Minor",1,"5/20/2015 12:00:38.016 ",216.837862726932
"3760",47.60895,-122.31472,47.59835,-122.3307,"Minor",6,"5/20/2015 16:07:47.021 ",1682.55281016805
"3761",47.59843,-122.33123,47.59913,-122.33142,"Pioneer Square",6,"5/20/2015 16:46:18.998 ",79.2181007785126
"3764",47.59834,-122.33117,47.54117,-122.30394,"Pioneer Square",6,"5/21/2015 16:51:27.014 ",6684.67214270602
"3773",47.61854,-122.35227,47.60843,-122.33675,"Belltown",23,"5/21/2015 17:16:32.966 ",1619.59526046768
"3774",47.60643,-122.33447,47.61534,-122.33257,"Central Business District",23,"5/21/2015 17:50:58.963 ",1002.05366823681
"3790",47.67323,-122.40166,47.6742,-122.34722,"Sunset Hill",6,"5/20/2015 16:08:43.958 ",4082.09689517359
"3791",47.67396,-122.35167,47.66953,-122.38374,"Phinney Ridge",6,"5/20/2015 16:57:05.011 ",2454.02754525481
"3792",47.65405,-122.35275,47.63046,-122.34231,"Fremont",7,"5/21/2015 10:41:47.011 ",2740.28175952234
"3793",47.63046,-122.34231,47.66232,-122.36832,"Westlake",7,"5/21/2015 10:54:00.029 ",4047.67951396882
"3794",47.69337,-122.34466,47.6907,-122.38404,"Greenwood",7,"5/21/2015 16:00:23.962 ",2965.70847616492
"3795",47.67351,-122.40122,47.65,-122.34633,"Sunset Hill",7,"5/20/2015 17:21:37.958 ",4877.02401473
"3796",47.65481,-122.3125,47.66227,-122.37088,"University District",7,"5/20/2015 20:56:06.979 ",4455.35044087054
"3834",47.60918,-122.33849,47.60776,-122.33847,"Central Business District",1,"5/19/2015 12:11:19.968 ",158.080803353699
"3835",47.60776,-122.33847,47.61114,-122.33527,"Central Business District",1,"5/19/2015 12:45:48.989 ",446.371437141187
"3836",47.61113,-122.33731,47.65678,-122.32249,"Central Business District",23,"5/19/2015 17:23:14.035 ",5201.91601116346
"3842",47.61156,-122.33387,47.61586,-122.3306,"Central Business District",6,"5/21/2015 17:16:18.970 ",537.908627287797
"3874",47.62679,-122.32969,47.62,-122.32907,"South Lake Union",1,"5/19/2015 15:46:42.038 ",757.289437847342
"3875",47.62,-122.32907,47.61259,-122.343,"South Lake Union",23,"5/19/2015 16:03:10.973 ",1331.5700237494
"3878",47.62302,-122.32949,47.6524,-122.32071,"South Lake Union",23,"5/20/2015 15:56:28.003 ",3336.21507339324
"3879",47.70822,-122.31755,47.6968,-122.34446,"Maple Leaf",22,"5/20/2015 17:36:51.984 ",2383.34140985552
"3880",47.69333,-122.3182,47.67935,-122.27619,"Maple Leaf",6,"5/20/2015 18:16:10.013 ",3511.83662916836
"3881",47.68537,-122.26406,47.66122,-122.28907,"Sand Point",6,"5/20/2015 20:05:42.029 ",3277.46663834854
"3883",47.6931,-122.31847,47.67941,-122.29043,"Maple Leaf",6,"5/20/2015 18:14:20.026 ",2595.74695982158
"3884",47.68534,-122.26415,47.66117,-122.28978,"Sand Point",6,"5/20/2015 20:05:47.040 ",3306.0818312579
"3886",47.71877,-122.31924,47.70296,-122.32606,"Pinehurst",23,"5/19/2015 7:30:34.042 ",1832.60053373887
"3887",47.61429,-122.33115,47.60531,-122.33114,"Central Business District",1,"5/19/2015 8:00:51.034 ",999.64930903949
"3888",47.60347,-122.33168,47.67432,-122.32092,"Pioneer Square",23,"5/19/2015 17:22:18.998 ",7928.1725641722
"3889",47.71874,-122.31916,47.70793,-122.32321,"Pinehurst",23,"5/20/2015 7:03:24.019 ",1241.00885360122
"3890",47.60358,-122.33183,47.67652,-122.32056,"Central Business District",23,"5/20/2015 17:18:11.030 ",8163.52652992417
"3891",47.72177,-122.32615,47.71883,-122.31975,"Haller Lake",6,"5/20/2015 19:12:38.016 ",580.3773196474
"3892",47.73399,-122.34492,47.71828,-122.31912,"Haller Lake",6,"5/21/2015 15:10:44.026 ",2605.92411797465
"3895",47.58595,-122.32004,47.62773,-122.18867,"North Beacon Hill",21,"5/19/2015 16:49:11.021 ",10901.6283819612
"3897",47.61327,-122.32241,47.61178,-122.32403,"First Hill",23,"5/21/2015 15:59:53.030 ",205.649031387666
"3996",47.71714,-122.34403,47.72898,-122.33442,"Haller Lake",7,"5/19/2015 16:17:06.029 ",1501.69578922762
"4011",47.7206,-122.30071,47.74854,-122.32237,"Olympic Hills",6,"5/19/2015 20:30:54.029 ",3507.64846921439
"4016",47.72807,-122.31641,47.74989,-122.32578,"Pinehurst",7,"5/21/2015 17:20:01.968 ",2528.25208493219
"4028",47.61109,-122.34322,47.54919,-122.31343,"Pike-Market",6,"5/21/2015 21:28:53.962 ",7244.686266281
"4057",47.62142,-122.33555,47.62448,-122.33424,"South Lake Union",7,"5/19/2015 19:10:27.034 ",354.534633416277
"4059",47.62153,-122.33615,47.64239,-122.20135,"South Lake Union",6,"5/21/2015 8:29:44.995 ",10375.5016382429
"4060",47.62025,-122.33604,47.62391,-122.33896,"South Lake Union",1,"5/21/2015 14:08:33.014 ",462.601039221273
"4061",47.62034,-122.33563,47.63799,-122.24356,"South Lake Union",7,"5/21/2015 19:05:47.011 ",7181.20852375254
"4110",47.60984,-122.33795,47.61435,-122.33836,"Central Business District",1,"5/19/2015 11:13:46.992 ",502.992866186029
"4111",47.58728,-122.33445,47.54582,-122.33411,"Industrial District",6,"5/19/2015 16:06:29.002 ",4615.37674131213
"4114",47.61451,-122.33979,47.61247,-122.34066,"Belltown",1,"5/20/2015 15:15:33.034 ",236.290471275407
"4115",47.61452,-122.33971,47.60765,-122.33197,"Belltown",6,"5/20/2015 19:00:18.000 ",960.348332350963
"4116",47.58736,-122.33445,47.5067,-122.28087,"Industrial District",6,"5/20/2015 19:31:37.027 ",9840.28495590991
"4118",47.61212,-122.33547,47.61414,-122.33826,"Central Business District",1,"5/21/2015 12:20:43.987 ",307.248389492483
"4119",47.61482,-122.33947,47.59111,-122.32136,"Belltown",6,"5/21/2015 18:37:02.035 ",2968.85295808353
"4178",47.64353,-122.30458,47.66314,-122.28119,"Montlake",6,"5/19/2015 6:34:59.002 ",2800.29665240633
"4179",47.66212,-122.28071,47.65901,-122.30131,"Laurelhurst",6,"5/19/2015 17:21:14.026 ",1582.83239565398
"4181",47.56869,-122.32018,47.66113,-122.29256,"Industrial District",6,"5/20/2015 6:11:45.974 ",10497.031077484
"4182",47.66203,-122.28067,47.65964,-122.30085,"Laurelhurst",6,"5/20/2015 17:11:34.022 ",1536.22297313018
"4185",47.64364,-122.30458,47.66206,-122.28069,"Montlake",6,"5/21/2015 6:36:48.989 ",2722.83637936273
"4186",47.66206,-122.28069,47.66047,-122.30004,"Laurelhurst",6,"5/21/2015 17:20:43.958 ",1461.52459717516
"4195",47.71988,-122.29539,47.76511,-122.29542,"Olympic Hills",7,"5/20/2015 13:34:28.013 ",5034.98106941455
"4198",47.71995,-122.2954,47.77716,-122.31314,"Olympic Hills",7,"5/20/2015 13:36:28.022 ",6505.54004478675
"4247",47.6816,-122.37702,47.66106,-122.34747,"Loyal Heights",17,"5/19/2015 7:09:59.990 ",3183.50396462974
"4251",47.60908,-122.34085,47.63107,-122.37397,"Pike-Market",2,"5/21/2015 17:27:06.970 ",3488.29091415735
"4252",47.68176,-122.37692,47.65061,-122.35137,"Loyal Heights",17,"5/21/2015 18:45:06.998 ",3961.45736529354
"4253",47.65061,-122.35137,47.68208,-122.37713,"Fremont",17,"5/21/2015 21:18:59.011 ",4000.24952012293
"4310",47.61986,-122.32981,47.71376,-122.32739,"South Lake Union",7,"5/19/2015 14:52:21.043 ",10454.4744297468
"4326",47.61337,-122.33443,47.60989,-122.34029,"Central Business District",1,"5/21/2015 10:16:03.043 ",586.064242349621
"4327",47.60772,-122.34324,47.60837,-122.3415,"Pike-Market",1,"5/21/2015 12:48:20.966 ",149.295874525278
"4328",47.60836,-122.31892,47.61216,-122.31825,"First Hill",7,"5/21/2015 14:08:08.995 ",425.992034504441
"4329",47.61524,-122.31942,47.60979,-122.31816,"Broadway",1,"5/21/2015 14:41:07.037 ",614.015652490302
"4330",47.60884,-122.31883,47.58947,-122.26371,"First Hill",7,"5/21/2015 14:57:00.029 ",4665.6918938145
"4335",47.60311,-122.33836,47.60323,-122.34162,"Central Business District",7,"5/20/2015 15:38:03.984 ",245.05491079317
"4339",47.60788,-122.31845,47.61343,-122.3293,"First Hill",22,"5/21/2015 9:42:26.035 ",1022.12390739338
"4340",47.60862,-122.31821,47.64467,-122.28736,"First Hill",6,"5/21/2015 18:56:42.000 ",4632.67585845458
"4368",47.58006,-122.33111,47.58572,-122.32606,"Industrial District",6,"5/19/2015 9:46:02.035 ",735.372510449289
"4369",47.58602,-122.32615,47.58122,-122.32733,"Industrial District",1,"5/19/2015 10:02:14.035 ",541.629647353051
"4370",47.61204,-122.33711,47.61974,-122.34981,"Central Business District",29,"5/19/2015 10:40:32.016 ",1281.77705657124
"4371",47.61974,-122.34981,47.61531,-122.34804,"Lower Queen Anne",1,"5/19/2015 11:23:37.968 ",510.717813506859
"4372",47.6109,-122.33908,47.61098,-122.33846,"Central Business District",1,"5/19/2015 14:03:04.003 ",47.3739086684163
"4373",47.61149,-122.33701,47.57743,-122.31626,"Central Business District",29,"5/19/2015 14:36:08.006 ",4099.05935220912
"4374",47.55731,-122.28451,47.55462,-122.28229,"Columbia City",1,"5/19/2015 15:59:55.968 ",342.761653341186
